Ingrediente,Quantita,Unita di misura,Nome Piatto
 Brodo vegetale,2,mestoli,Sformatini di carciofi con salsa al Parmigiano
 Uova piccole,3,pezzi,Sformatini di carciofi con salsa al Parmigiano
 Olio extravergine d'oliva,3,cucchiai,Sformatini di carciofi con salsa al Parmigiano
 Sale fino,q.b.,n.a,Sformatini di carciofi con salsa al Parmigiano
 Pepe bianco,q.b.,n.a,Sformatini di carciofi con salsa al Parmigiano
 Farina 00,20,g,Sformatini di carciofi con salsa al Parmigiano
 Latte intero,150,ml,Sformatini di carciofi con salsa al Parmigiano
 Burro,20,g,Sformatini di carciofi con salsa al Parmigiano
 Sale fino,q.b.,n.a,Sformatini di carciofi con salsa al Parmigiano
 Noce moscata,1,pizzico,Sformatini di carciofi con salsa al Parmigiano
 Panna fresca liquida,100,ml,Sformatini di carciofi con salsa al Parmigiano
 Parmigiano Reggiano DOP,4,cucchiai,Sformatini di carciofi con salsa al Parmigiano
 Pepe bianco,q.b.,n.a,Sformatini di carciofi con salsa al Parmigiano
 Sale fino,q.b.,n.a,Sformatini di carciofi con salsa al Parmigiano
 Parmigiano Reggiano DOP,5,cucchiai,Sformatini di carciofi con salsa al Parmigiano
 Patate,800,g,Patate alla birra
 Birra rossa,80,g,Patate alla birra
 Burro,40,g,Patate alla birra
 Rosmarino,q.b.,n.a,Patate alla birra
 Sale fino,q.b.,n.a,Patate alla birra
 Pepe nero,q.b.,n.a,Patate alla birra
 Latte intero,200,g,Yorkshire pudding
 Farina 00,200,g,Yorkshire pudding
 Olio di semi,140,g,Yorkshire pudding
 Uova (circa 4),240,g,Yorkshire pudding
 Sale fino,q.b.,n.a,Yorkshire pudding
 Pepe nero,q.b.,n.a,Yorkshire pudding
 Patate,800,g,Patate e peperoni cruschi
 Peperoni cruschi,100,g,Patate e peperoni cruschi
 Olio extravergine d'oliva,q.b.,n.a,Patate e peperoni cruschi
 Sale fino,q.b.,n.a,Patate e peperoni cruschi
 Cipollotto fresco,1,pezzi,Terrina millegusti
 Mozzarella,150,g,Terrina millegusti
 Uova medie,2,pezzi,Terrina millegusti
 Olio extravergine d'oliva,2,cucchiai,Terrina millegusti
 Sale fino,q.b.,n.a,Terrina millegusti
 Pepe nero,q.b.,n.a,Terrina millegusti
 Carote,75,g,Terrina millegusti
 Zucchine,75,g,Terrina millegusti
 Asparagi,75,g,Terrina millegusti
 Grana Padano DOP da grattugiare,100,g,Terrina millegusti
 Peperoni rossi,35,g,Terrina millegusti
 Patate,1,kg,Terrina millegusti
 Peperoni gialli,35,g,Terrina millegusti
 Burro,q.b.,n.a,Terrina millegusti
 Pangrattato,2,cucchiai,Terrina millegusti
 Patate,700,g,Carciofi e patate
 Olio extravergine d'oliva,60,g,Carciofi e patate
 Sale fino,q.b.,n.a,Carciofi e patate
 Pepe nero,q.b.,n.a,Carciofi e patate
 Rosmarino,q.b.,n.a,Carciofi e patate
 Zucca polpa,800,g,Zucca saltata al rosmarino e vino bianco
 Rosmarino,2,rametti,Zucca saltata al rosmarino e vino bianco
 Vino bianco,100,ml,Zucca saltata al rosmarino e vino bianco
 Aglio,2,spicchi,Zucca saltata al rosmarino e vino bianco
 Olio extravergine d'oliva,4,cucchiai,Zucca saltata al rosmarino e vino bianco
 Sale fino,q.b.,n.a,Zucca saltata al rosmarino e vino bianco
 Pepe nero,q.b.,n.a,Zucca saltata al rosmarino e vino bianco
 Cipolle gialle,4,pezzi,Cipolle ripiene
 Bacche di ginepro,8,g,Cipolle ripiene
 Pepe nero in grani,8,g,Cipolle ripiene
 Alloro,4,foglie,Cipolle ripiene
 Prezzemolo gambi,q.b.,n.a,Cipolle ripiene
 Olio extravergine d'oliva,q.b.,n.a,Cipolle ripiene
 Burro,15,g,Cipolle ripiene
 Funghi champignon,130,g,Cipolle ripiene
 Zucchine,100,g,Cipolle ripiene
 Patate,80,g,Cipolle ripiene
 Carote,60,g,Cipolle ripiene
 Grana Padano DOP da grattugiare,40,g,Cipolle ripiene
 Burro,15,g,Cipolle ripiene
 Olio extravergine d'oliva,q.b.,n.a,Cipolle ripiene
 Sale fino,q.b.,n.a,Cipolle ripiene
 Pepe nero,q.b.,n.a,Cipolle ripiene
 Prezzemolo,q.b.,n.a,Cipolle ripiene
 Patate piccole,8,pezzi,Barchette di patate con cheddar e pancetta
 Pancetta affumicata,70,g,Barchette di patate con cheddar e pancetta
 Prezzemolo tritato,2,cucchiai,Barchette di patate con cheddar e pancetta
 Cheddar,120,g,Barchette di patate con cheddar e pancetta
 Burro,50,g,Barchette di patate con cheddar e pancetta
 Sale fino,q.b.,n.a,Barchette di patate con cheddar e pancetta
 Pepe nero,q.b.,n.a,Barchette di patate con cheddar e pancetta
 Melanzane,500,g,Melanzane e cipolle al forno
 Cipolle bianche,2,pezzi,Melanzane e cipolle al forno
 Mentuccia,10,foglie,Melanzane e cipolle al forno
 Prezzemolo,1,ciuffo,Melanzane e cipolle al forno
 Origano,q.b.,n.a,Melanzane e cipolle al forno
 Basilico,10,foglie,Melanzane e cipolle al forno
 Aglio,1,spicchio,Melanzane e cipolle al forno
 Olio extravergine d'oliva,q.b.,n.a,Melanzane e cipolle al forno
 Sale fino,q.b.,n.a,Melanzane e cipolle al forno
 Pepe nero,q.b.,n.a,Melanzane e cipolle al forno
 Peperoncino in polvere ,0.25,1/4i dell'ingrediente,Melanzane e cipolle al forno
 Fagioli neri secchi,200,g,Crema di fagioli ( frijoles refritos)
 Cipolle,100,g,Crema di fagioli ( frijoles refritos)
 Burro,100,g,Crema di fagioli ( frijoles refritos)
 Sale fino,q.b.,n.a,Crema di fagioli ( frijoles refritos)
 Cumino in polvere la punta di,0.5,Metti dell'ingrediente,Crema di fagioli ( frijoles refritos)
 Coriandolo in polvere la punta di,0.5,Metti dell'ingrediente,Crema di fagioli ( frijoles refritos)
 Pepe nero,q.b.,n.a,Crema di fagioli ( frijoles refritos)
 Aglio,2,spicchi,Crema di fagioli ( frijoles refritos)
 Germogli di soia,400,g,Germogli di soia saltati
 Zenzero fresco,20,g,Germogli di soia saltati
 Peperoncino fresco,1,pezzi,Germogli di soia saltati
 Olio di semi,10,g,Germogli di soia saltati
 Salsa di soia,40,g,Germogli di soia saltati
 Acqua,10,g,Germogli di soia saltati
 Pepe bianco da macinare al momento,q.b.,n.a,Sformati di broccoli con salsa al caprino
 Sale fino,q.b.,n.a,Sformati di broccoli con salsa al caprino
 Uova,2,pezzi,Sformati di broccoli con salsa al caprino
 Grana Padano DOP da grattugiare,40,g,Sformati di broccoli con salsa al caprino
 Latte intero,250,ml,Sformati di broccoli con salsa al caprino
 Burro,30,g,Sformati di broccoli con salsa al caprino
 Farina 00,25,g,Sformati di broccoli con salsa al caprino
 Noce moscata da grattugiare,1,pizzico,Sformati di broccoli con salsa al caprino
 Sale fino,q.b.,n.a,Sformati di broccoli con salsa al caprino
 Caprino,250,g,Sformati di broccoli con salsa al caprino
 Latte intero,q.b.,n.a,Sformati di broccoli con salsa al caprino
 Sale fino,q.b.,n.a,Sformati di broccoli con salsa al caprino
 Pepe bianco da macinare al momento,q.b.,n.a,Sformati di broccoli con salsa al caprino
 Carciofi ( circa 6),1,kg,Insalata di carciofi
 Grana Padano DOP,40,g,Insalata di carciofi
 Limoni per l'acqua acidulata,1,Tutto l'ingrediente,Insalata di carciofi
 Succo di limone,30,g,Insalata di carciofi
 Sale fino,q.b.,n.a,Insalata di carciofi
 Pepe nero,q.b.,n.a,Insalata di carciofi
 Olio extravergine d'oliva,60,g,Insalata di carciofi
 Olio extravergine d'oliva,q.b.,n.a,Insalata di carciofi
 Cicoria,1,kg,Cicoria in padella
 Aglio,2,spicchi,Cicoria in padella
 Peperoncino fresco,1,pezzi,Cicoria in padella
 Olio extravergine d'oliva,4,cucchiai,Cicoria in padella
 Sale fino,q.b.,n.a,Cicoria in padella
 Lenticchie secche umbre,200,g,Insalata di lenticchie con pancetta e verdure
 Pancetta affumicata,100,g,Insalata di lenticchie con pancetta e verdure
 Carote,100,g,Insalata di lenticchie con pancetta e verdure
 Cavoletti di Bruxelles,200,g,Insalata di lenticchie con pancetta e verdure
 Songino,100,g,Insalata di lenticchie con pancetta e verdure
 Olio extravergine d'oliva,50,g,Insalata di lenticchie con pancetta e verdure
 Sale fino,q.b.,n.a,Insalata di lenticchie con pancetta e verdure
 Pepe nero,q.b.,n.a,Insalata di lenticchie con pancetta e verdure
 Patate (per frittura),1,kg,Patatine fritte alla belga
 Sale fino,q.b.,n.a,Patatine fritte alla belga
 Latte scremato,1,l,Fiocchi di latte
 Sale fino,6,g,Fiocchi di latte
 Aceto di vino bianco,17,g,Fiocchi di latte
 Cavolfiore (circa 1 medio),800,g,Insalata di rinforzo
 Peperoni sott'aceto (o papaccelle),100,g,Insalata di rinforzo
 Olive verdi in salamoia,100,g,Insalata di rinforzo
 Olive nere,100,g,Insalata di rinforzo
 Capperi sott'aceto,50,g,Insalata di rinforzo
 Cetrioli,50,g,Insalata di rinforzo
 Acciughe (alici) sott'olio,60,g,Insalata di rinforzo
 Olio extravergine d'oliva,30,g,Insalata di rinforzo
 Aceto di vino rosso,q.b.,n.a,Insalata di rinforzo
 Sale,q.b.,n.a,Insalata di rinforzo
 Ceci secchi,300,g,Ceci al pomodoro
 Alloro,1,foglia,Ceci al pomodoro
 Bicarbonato,1,pizzico,Ceci al pomodoro
 Pomodori pelati,250,g,Ceci al pomodoro
 Concentrato di pomodoro,10,g,Ceci al pomodoro
 Aglio,1,spicchio,Ceci al pomodoro
 Vino rosso corposo,50,g,Ceci al pomodoro
 Peperoncino secco,1,pezzi,Ceci al pomodoro
 Salvia,q.b.,n.a,Ceci al pomodoro
 Rosmarino,q.b.,n.a,Ceci al pomodoro
 Origano,q.b.,n.a,Ceci al pomodoro
 Olio extravergine d'oliva,q.b.,n.a,Ceci al pomodoro
 Sale fino,q.b.,n.a,Ceci al pomodoro
 Pepe nero,q.b.,n.a,Ceci al pomodoro
 Sedano rapa,200,g,Insalata Waldorf
 Mele Granny Smith,200,g,Insalata Waldorf
 Yogurt greco,180,g,Insalata Waldorf
 Succo di limone,10,g,Insalata Waldorf
 Gherigli di noci,50,g,Insalata Waldorf
 Miele di acacia,35,g,Insalata Waldorf
 Maionese,150,g,Insalata Waldorf
 Pepe bianco,q.b.,n.a,Insalata Waldorf
 Sale fino,q.b.,n.a,Insalata Waldorf
 Spinaci,1,kg,Spinaci alla romana
 Burro,100,g,Spinaci alla romana
 Pinoli,80,g,Spinaci alla romana
 Uva passa,100,g,Spinaci alla romana
 Pepe,q.b.,n.a,Torrette di patate arrosto
 Rosmarino,q.b.,n.a,Torrette di patate arrosto
 Olio di oliva extravergine,12,cucchiai,Torrette di patate arrosto
 Sale,q.b.,n.a,Torrette di patate arrosto
 Broccoli,1,kg,Broccoli affogati
 Cipolle,50,g,Broccoli affogati
 Olio extravergine d'oliva,60,g,Broccoli affogati
 Acciughe sott'olio filetti,20,g,Broccoli affogati
 Prezzemolo,q.b.,n.a,Broccoli affogati
 Pecorino fresco grattugiato,150,g,Broccoli affogati
 Vino rosso,100,g,Broccoli affogati
 Sale fino,q.b.,n.a,Broccoli affogati
 Pepe nero,q.b.,n.a,Broccoli affogati
 Aglio,1,spicchio,Broccoli affogati
 Fagiolini,300,g,Fagiolini fritti
 Farina 00,150,g,Fagiolini fritti
 Acqua,190,g,Fagiolini fritti
 Pangrattato,150,g,Fagiolini fritti
 Olio di semi di arachide (per friggere),500,g,Fagiolini fritti
 Melanzane,1,kg,Zuccotto di melanzane
 Sale grosso,60,g,Zuccotto di melanzane
 Farina 00,200,g,Zuccotto di melanzane
 Pomodori pelati,500,g,Zuccotto di melanzane
 Aglio,1,spicchio,Zuccotto di melanzane
 Basilico,10,foglie,Zuccotto di melanzane
 Olio extravergine d'oliva,30,g,Zuccotto di melanzane
 Sale fino,q.b.,n.a,Zuccotto di melanzane
 Pepe nero,q.b.,n.a,Zuccotto di melanzane
 Pecorino grattugiato,30,g,Zuccotto di melanzane
 Parmigiano Reggiano DOP grattugiato,30,g,Zuccotto di melanzane
 Pangrattato,60,g,Zuccotto di melanzane
 Olio extravergine d'oliva,20,g,Zuccotto di melanzane
 Basilico,5,foglie,Zuccotto di melanzane
 Olio di semi di arachide,1,l,Zuccotto di melanzane
 Fagiolini,600,g,Fagiolini all'aglio e mollica croccante
 Aglio,2,spicchi,Fagiolini all'aglio e mollica croccante
 Pane raffermo mollica,60,g,Fagiolini all'aglio e mollica croccante
 Prezzemolo,1,ciuffo,Fagiolini all'aglio e mollica croccante
 Olio extravergine d'oliva,5,cucchiai,Fagiolini all'aglio e mollica croccante
 Sale fino,q.b.,n.a,Fagiolini all'aglio e mollica croccante
 Topinambur,800,g,Topinambur trifolati
 Prezzemolo tritato,2,cucchiai,Topinambur trifolati
 Aglio,2,spicchi,Topinambur trifolati
 Brodo vegetale circa,200,ml,Topinambur trifolati
 Olio extravergine d'oliva,5,cucchiai,Topinambur trifolati
 Sale fino,q.b.,n.a,Topinambur trifolati
 Pepe nero,q.b.,n.a,Topinambur trifolati
 Limoni,1,pezzi,Topinambur trifolati
 Patate,1,kg,Patate alla savoiarda
 Fontina (oppure Groviera e Emmentaler),200,g,Patate alla savoiarda
 Burro,50,g,Patate alla savoiarda
 Latte intero,130,g,Patate alla savoiarda
 Sale fino,q.b.,n.a,Patate alla savoiarda
 Cavoletti di Bruxelles,500,g,Cavoletti di Bruxelles in padella
 Speck,120,g,Cavoletti di Bruxelles in padella
 Scalogno,40,g,Cavoletti di Bruxelles in padella
 Olio extravergine d'oliva,50,g,Cavoletti di Bruxelles in padella
 Sale fino,q.b.,n.a,Cavoletti di Bruxelles in padella
 Pepe nero,q.b.,n.a,Cavoletti di Bruxelles in padella
 Brodo vegetale,250,g,Cavoletti di Bruxelles in padella
 Patate,1,kg,Patate sabbiose
 Aglio,1,spicchio,Patate sabbiose
 Rosmarino,2,rametti,Patate sabbiose
 Pane mollica,50,g,Patate sabbiose
 Pangrattato,20,g,Patate sabbiose
 Salvia,3,foglie,Patate sabbiose
 Olio extravergine d'oliva,q.b.,n.a,Patate sabbiose
 Pepe nero,q.b.,n.a,Patate sabbiose
 Sale fino,q.b.,n.a,Patate sabbiose
 Carciofi,8,pezzi,Carciofi trifolati
 Aglio,2,spicchi,Carciofi trifolati
 Olio extravergine d'oliva,5,cucchiai,Carciofi trifolati
 Prezzemolo da tritare,3,cucchiai,Carciofi trifolati
 Brodo vegetale,q.b.,n.a,Carciofi trifolati
 Sale fino,q.b.,n.a,Carciofi trifolati
 Pepe nero,q.b.,n.a,Carciofi trifolati
 Scarola (indivia),520,g,Scarola affogata
 Olive nere denocciolate,50,g,Scarola affogata
 Capperi sotto sale,30,g,Scarola affogata
 Aglio,1,spicchio,Scarola affogata
 Peperoncino fresco,1,pezzi,Scarola affogata
 Olio extravergine d'oliva,q.b.,n.a,Scarola affogata
 Sale fino,q.b.,n.a,Scarola affogata
 Prezzemolo tritato,2,cucchiai,Pomodori  gratinati alla pugliese
 Aglio,1,spicchio,Pomodori  gratinati alla pugliese
 Sale fino,q.b.,n.a,Pomodori  gratinati alla pugliese
 Pepe nero,q.b.,n.a,Pomodori  gratinati alla pugliese
 Acciughe sott'olio,20,g,Pomodori  gratinati alla pugliese
 Brodo vegetale,80,ml,Pomodori  gratinati alla pugliese
 Olio extravergine d'oliva,15,ml,Pomodori  gratinati alla pugliese
 Pangrattato,55,g,Pomodori  gratinati alla pugliese
 Capperi sott'aceto,8,g,Pomodori  gratinati alla pugliese
 Basilico tritato,6,foglie,Pomodori  gratinati alla pugliese
 Pomodori ramati 4 sodi e maturi,600,g,Pomodori  gratinati alla pugliese
 Patate,800,g,Insalata di patate e zucchine
 Zucchine,450,g,Insalata di patate e zucchine
 Cipolle rosse,180,g,Insalata di patate e zucchine
 Pomodorini ciliegino,250,g,Insalata di patate e zucchine
 Mais (precotto),150,g,Insalata di patate e zucchine
 Basilico,q.b.,n.a,Insalata di patate e zucchine
 Olio extravergine d'oliva,q.b.,n.a,Insalata di patate e zucchine
 Sale fino,q.b.,n.a,Insalata di patate e zucchine
 Olio extravergine d'oliva,100,g,Insalata di patate e zucchine
 Senape,1,cucchiaio,Insalata di patate e zucchine
 Sale fino,q.b.,n.a,Insalata di patate e zucchine
 Pepe nero,q.b.,n.a,Insalata di patate e zucchine
 Fagiolini,500,g,Fagiolini sabbiosi con pomodorini
 Pomodori di Pachino,10,pezzi,Fagiolini sabbiosi con pomodorini
 Pane bianco in cassetta,3,fette,Fagiolini sabbiosi con pomodorini
 Parmigiano Reggiano DOP da grattugiare,2,cucchiai,Fagiolini sabbiosi con pomodorini
 Origano secco,0.5,Metti dell'ingrediente,Fagiolini sabbiosi con pomodorini
 Olio extravergine d'oliva,q.b.,n.a,Fagiolini sabbiosi con pomodorini
 Sale fino,q.b.,n.a,Fagiolini sabbiosi con pomodorini
 Funghi orecchioni o ostrica (Pleurotus),220,g,Funghi fritti
 Funghi porcini,220,g,Funghi fritti
 Funghi champignon,250,g,Funghi fritti
 Pangrattato,150,g,Funghi fritti
 Farina 00,150,g,Funghi fritti
 Acqua,190,g,Funghi fritti
 Sale fino,q.b.,n.a,Funghi fritti
 Olio di semi di arachide,1,l,Funghi fritti
 Zucca,800,g,Zucca gratinata
 Aglio,1,spicchio,Zucca gratinata
 Rosmarino,2,rametti,Zucca gratinata
 Olio extravergine d'oliva,2,cucchiai,Zucca gratinata
 Sale fino,q.b.,n.a,Zucca gratinata
 Pepe nero,q.b.,n.a,Zucca gratinata
 Pane raffermo mollica,50,g,Zucca gratinata
 Grana Padano DOP da grattugiare,20,g,Zucca gratinata
 Salvia,2,foglie,Zucca gratinata
 Olio extravergine d'oliva,2,cucchiai,Zucca gratinata
 da sgranare,500,g,Vignarola
 da sgranare,500,g,Vignarola
 Lattuga romana,1,pezzi,Vignarola
 Carciofi mammole,390,g,Vignarola
 Cipollotto fresco,2,pezzi,Vignarola
 Peperoncino fresco,1,pezzi,Vignarola
 Vino bianco secco,70,g,Vignarola
 Olio extravergine d'oliva,q.b.,n.a,Vignarola
 Sale fino,q.b.,n.a,Vignarola
 rossi,600,g,Ciambotta
 Zucchine,570,g,Ciambotta
 Patate,350,g,Ciambotta
 Melanzane,235,g,Ciambotta
 Pomodorini ciliegino,250,g,Ciambotta
 Cipolle bianche,140,g,Ciambotta
 Acqua,300,g,Ciambotta
 Polpa di pomodoro,210,g,Ciambotta
 Basilico,q.b.,n.a,Ciambotta
 Olio extravergine d'oliva,q.b.,n.a,Ciambotta
 Sale fino,q.b.,n.a,Ciambotta
 Pepe nero,q.b.,n.a,Ciambotta
 Peperoni gialli,750,g,Peperoni sott'olio
 Peperoni rossi,750,g,Peperoni sott'olio
 Olio extravergine d'oliva,q.b.,n.a,Peperoni sott'olio
 Sale fino,q.b.,n.a,Peperoni sott'olio
 Aglio,4,spicchi,Peperoni sott'olio
 Cetrioli (da pulire),400,g,Insalata di cetrioli
 Pomodorini gialli,100,g,Insalata di cetrioli
 Pomodorini datterini,100,g,Insalata di cetrioli
 Cipollotti rossi,100,g,Insalata di cetrioli
 Spinacini,60,g,Insalata di cetrioli
 Yogurt greco,100,g,Insalata di cetrioli
 Olio extravergine d'oliva,30,g,Insalata di cetrioli
 Aceto di mele,2,cucchiai,Insalata di cetrioli
 Sale fino,q.b.,n.a,Insalata di cetrioli
 Pepe nero,q.b.,n.a,Insalata di cetrioli
 Patate,900,g,Patate alla lionese
 Cipolle dorate,300,g,Patate alla lionese
 Burro,10,g,Patate alla lionese
 Olio extravergine d'oliva,10,g,Patate alla lionese
 Prezzemolo,q.b.,n.a,Patate alla lionese
 Latte intero,500,ml,Patate alla lionese
 Burro,50,g,Patate alla lionese
 Farina 00,25,g,Patate alla lionese
 Noce moscata,q.b.,n.a,Patate alla lionese
 Sale fino,q.b.,n.a,Patate alla lionese
 Pepe nero,q.b.,n.a,Patate alla lionese
 Pangrattato,20,g,Patate alla lionese
 Burro,q.b.,n.a,Patate alla lionese
 Peperoni gialli,1,pezzi,Insalata con tonno mozzarella e peperoni
 Peperoni rossi,1,pezzi,Insalata con tonno mozzarella e peperoni
 Pomodori cuore di bue,100,g,Insalata con tonno mozzarella e peperoni
 Pomodorini datterini,60,g,Insalata con tonno mozzarella e peperoni
 Peperoncino fresco,1,pezzi,Insalata con tonno mozzarella e peperoni
 Acciughe (alici) sottolio,12,g,Insalata con tonno mozzarella e peperoni
 Tonno sott'olio,180,g,Insalata con tonno mozzarella e peperoni
 Olive nere denocciolate,80,g,Insalata con tonno mozzarella e peperoni
 Mozzarella,200,g,Insalata con tonno mozzarella e peperoni
 Scarola (indivia),100,g,Insalata con tonno mozzarella e peperoni
 Olio extravergine d'oliva,50,g,Insalata con tonno mozzarella e peperoni
 Aceto di mele,10,g,Insalata con tonno mozzarella e peperoni
 Sale fino,q.b.,n.a,Insalata con tonno mozzarella e peperoni
 Pepe nero,q.b.,n.a,Insalata con tonno mozzarella e peperoni
 Lattuga iceberg,180,g,Insalata di anguria
 Speck,70,g,Insalata di anguria
 Mandorle pelate,80,g,Insalata di anguria
 Semi di zucca decorticati,40,g,Insalata di anguria
 Olio extravergine d'oliva,30,g,Insalata di anguria
 Menta,q.b.,n.a,Insalata di anguria
 Sale fino,q.b.,n.a,Insalata di anguria
 Pepe nero,q.b.,n.a,Insalata di anguria
 Aceto balsamico,20,g,Insalata di anguria
 Puntarelle (germogli di cicoria catalogna),800,g,Insalata di puntarelle alla romana
 Olio extravergine d'oliva,30,g,Insalata di puntarelle alla romana
 Aceto di vino bianco,10,g,Insalata di puntarelle alla romana
 Aglio,1,spicchio,Insalata di puntarelle alla romana
 Sale fino,q.b.,n.a,Insalata di puntarelle alla romana
 Pepe nero,q.b.,n.a,Insalata di puntarelle alla romana
 Peperoni verdi,450,g,Bandiera
 Cipolle bianche,230,g,Bandiera
 Pomodori ramati,640,g,Bandiera
 Olio extravergine d'oliva,30,g,Bandiera
 Sale fino,q.b.,n.a,Bandiera
 Pepe nero,q.b.,n.a,Bandiera
 Patate,800,g,Patate al forno con la buccia
 Paprika dolce,q.b.,n.a,Patate al forno con la buccia
 Pangrattato,2,cucchiai,Patate al forno con la buccia
 Rosmarino,2,rametti,Patate al forno con la buccia
 Olio extravergine d'oliva,60,g,Patate al forno con la buccia
 Sale fino,q.b.,n.a,Patate al forno con la buccia
 Patate,480,g,Rosti light
 Olio extravergine d'oliva,1,cucchiaio,Rosti light
 Sale,q.b.,n.a,Rosti light
 Pepe nero,q.b.,n.a,Rosti light
 Rosmarino,1,rametto,Rosti light
 Peperoni rossi,750,g,Peperoni in agrodolce
 Peperoni gialli,750,g,Peperoni in agrodolce
 Zucchero,125,g,Peperoni in agrodolce
 Sale fino,50,g,Peperoni in agrodolce
 Aceto di mele,1,l,Peperoni in agrodolce
 Fave fresche,2,kg,Insalata di fave
 Pecorino a scaglie,40,g,Insalata di fave
 Aceto balsamico,20,g,Insalata di fave
