Ingrediente,Quantita,Unita_di_misura,Nome_Piatto,,,,
 Latte intero,90.0,g,Rosti di zucchine e patate con fonduta al Grana Padano,,,,
 Origano fresco,-1.0,n.a.,Rosti di zucchine e patate con fonduta al Grana Padano,,,,
 Carote baby,600.0,g,Carote agrodolci,,,,
 Aceto di mele,300.0,ml,Carote agrodolci,,,,
 Olio extravergine d'oliva,300.0,ml,Carote agrodolci,,,,
 Zucchero,10.0,g,Carote agrodolci,,,,
 Sale fino,3.0,g,Carote agrodolci,,,,
 Maggiorana,8.0,g,Carote agrodolci,,,,
 Cipolle ramate (2 medie),200.0,g,Cipolle ripiene al tartufo,,,,
 Patate,140.0,g,Cipolle ripiene al tartufo,,,,
 Tartufo nero piccolo,1.0,pezzi,Cipolle ripiene al tartufo,,,,
 Parmigiano Reggiano DOP da grattugiare,50.0,g,Cipolle ripiene al tartufo,,,,
 Tuorli,1.0,pezzi,Cipolle ripiene al tartufo,,,,
 Rosmarino,-1.0,n.a.,Cipolle ripiene al tartufo,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Cipolle ripiene al tartufo,,,,
 Sale fino,-1.0,n.a.,Cipolle ripiene al tartufo,,,,
 Pepe nero,-1.0,n.a.,Cipolle ripiene al tartufo,,,,
 Patate,740.0,g,Sformato di patate e funghi,,,,
 Funghi orecchioni o ostrica (Pleurotus),210.0,g,Sformato di patate e funghi,,,,
 Timo,-1.0,n.a.,Sformato di patate e funghi,,,,
 Scorza di limone,0.5,Met� dell'ingrediente,Sformato di patate e funghi,,,,
 Panna fresca liquida,150.0,g,Sformato di patate e funghi,,,,
 Uova,3.0,pezzi,Sformato di patate e funghi,,,,
 Grana Padano DOP,120.0,g,Sformato di patate e funghi,,,,
 Pangrattato,-1.0,n.a.,Sformato di patate e funghi,,,,
 Pepe nero,-1.0,n.a.,Sformato di patate e funghi,,,,
 Sale fino,-1.0,n.a.,Sformato di patate e funghi,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Sformato di patate e funghi,,,,
 Olive verdi fresche e polpose,850.0,g,Olive schiacciate,,,,
 Olio extravergine d'oliva,50.0,g,Olive schiacciate,,,,
 Sale fino,-1.0,n.a.,Olive schiacciate,,,,
 Pepe nero,-1.0,n.a.,Olive schiacciate,,,,
 Aglio,3.0,spicchi,Olive schiacciate,,,,
 Peperoncino fresco,1.0,pezzi,Olive schiacciate,,,,
 Origano,-1.0,n.a.,Olive schiacciate,,,,
 Patate rosse,1.0,kg,Patate filanti,,,,
 Provola,220.0,g,Patate filanti,,,,
 Grana Padano DOP,80.0,g,Patate filanti,,,,
 Timo,3.0,rametti,Patate filanti,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Patate filanti,,,,
 Sale fino,-1.0,n.a.,Patate filanti,,,,
 Pepe nero,-1.0,n.a.,Patate filanti,,,,
 Olio extravergine d'oliva,700.0,g,Carciofi sott'olio,,,,
 Limoni,1.0,pezzi,Carciofi sott'olio,,,,
 Cardi,1.0,kg,Cardi gratinati,,,,
 Grana Padano DOP grattugiato,40.0,g,Cardi gratinati,,,,
 Burro,-1.0,n.a.,Cardi gratinati,,,,
 Pangrattato,2.0,cucchiai,Cardi gratinati,,,,
 Sale fino,-1.0,n.a.,Cardi gratinati,,,,
 Succo di limone,1.0,pezzi,Cardi gratinati,,,,
 Latte intero,250.0,g,Cardi gratinati,,,,
 Burro,25.0,g,Cardi gratinati,,,,
 Farina 00,20.0,g,Cardi gratinati,,,,
 Noce moscata,1.0,pizzico,Cardi gratinati,,,,
 Pepe nero,-1.0,n.a.,Cardi gratinati,,,,
 Sale fino,-1.0,n.a.,Cardi gratinati,,,,
 Porri da pulire,1.0,kg,Porri grigliati,,,,
 Olio extravergine d'oliva,6.0,cucchiai,Porri grigliati,,,,
 Sale fino,-1.0,n.a.,Porri grigliati,,,,
 Pepe nero,-1.0,n.a.,Porri grigliati,,,,
 Menta,10.0,foglie,Porri grigliati,,,,
 Prezzemolo,1.0,ciuffo,Porri grigliati,,,,
 Aneto,2.0,rametti,Porri grigliati,,,,
 Rosmarino,-1.0,n.a.,Porri grigliati,,,,
 Aceto balsamico,-1.0,n.a.,Porri grigliati,,,,
 Spinacini,125.0,g,Insalata invernale,,,,
 Barbabietole precotte,260.0,g,Insalata invernale,,,,
 Pere kaiser,500.0,g,Insalata invernale,,,,
 Gorgonzola dolce,250.0,g,Insalata invernale,,,,
 Gherigli di noci,100.0,g,Insalata invernale,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Insalata invernale,,,,
 Sale fino,-1.0,n.a.,Insalata invernale,,,,
 Aceto balsamico,-1.0,n.a.,Insalata invernale,,,,
 Patate,700.0,g,Funghi e patate,,,,
 Funghi champignon,350.0,g,Funghi e patate,,,,
 Vino bianco secco,50.0,g,Funghi e patate,,,,
 Sale grosso,0.5,Met� dell'ingrediente,Funghi e patate,,,,
 Rosmarino,-1.0,n.a.,Funghi e patate,,,,
 Pepe nero,-1.0,n.a.,Funghi e patate,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Funghi e patate,,,,
 Patate a pasta gialla farinose o rosse,1.0,kg,Pur� di patate e lenticchie,,,,
 Latte intero,300.0,g,Pur� di patate e lenticchie,,,,
 Burro,80.0,g,Pur� di patate e lenticchie,,,,
 Sale fino,-1.0,n.a.,Pur� di patate e lenticchie,,,,
 Noce moscata,-1.0,n.a.,Pur� di patate e lenticchie,,,,
 Lenticchie secche,180.0,g,Pur� di patate e lenticchie,,,,
 Sedano,50.0,g,Pur� di patate e lenticchie,,,,
 Carote,50.0,g,Pur� di patate e lenticchie,,,,
 Cipolle,50.0,g,Pur� di patate e lenticchie,,,,
 Alloro,2.0,foglie,Pur� di patate e lenticchie,,,,
 Rosmarino,3.0,rametti,Pur� di patate e lenticchie,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Pur� di patate e lenticchie,,,,
 Rape bianche,600.0,g,Rape glassate al miele e spezie,,,,
 Miele millefiori,156.0,g,Rape glassate al miele e spezie,,,,
 Paprika dolce,3.0,g,Rape glassate al miele e spezie,,,,
 Zenzero in polvere,3.0,g,Rape glassate al miele e spezie,,,,
 Cumino in polvere,3.0,g,Rape glassate al miele e spezie,,,,
 Senape gialla in polvere,3.0,g,Rape glassate al miele e spezie,,,,
 Timo,4.0,rametti,Rape glassate al miele e spezie,,,,
 Acqua,30.0,g,Rape glassate al miele e spezie,,,,
 Sale fino,-1.0,n.a.,Rape glassate al miele e spezie,,,,
 Olio extravergine d'oliva,20.0,g,Rape glassate al miele e spezie,,,,
 Verza,500.0,g,Verza alla salentina,,,,
 Pomodorini ciliegino,8.0,pezzi,Verza alla salentina,,,,
 Peperoncino fresco,1.0,pezzi,Verza alla salentina,,,,
 Cipolle rosse,100.0,g,Verza alla salentina,,,,
 Acqua,300.0,g,Verza alla salentina,,,,
 Olio extravergine d'oliva,5.0,cucchiai,Verza alla salentina,,,,
 Olio extravergine d'oliva,2.0,cucchiai,Spinaci ricchi con besciamella,,,,
 Cipolle,0.5,Met� dell'ingrediente,Spinaci ricchi con besciamella,,,,
 Grana Padano DOP,50.0,g,Spinaci ricchi con besciamella,,,,
 Sale fino,-1.0,n.a.,Spinaci ricchi con besciamella,,,,
 Latte intero,500.0,ml,Spinaci ricchi con besciamella,,,,
 Farina 00,50.0,g,Spinaci ricchi con besciamella,,,,
 Burro,50.0,g,Spinaci ricchi con besciamella,,,,
 Sale fino,-1.0,n.a.,Spinaci ricchi con besciamella,,,,
 Noce moscata da grattugiare,-1.0,n.a.,Spinaci ricchi con besciamella,,,,
 Patate,1.0,kg,Pommes Anna,,,,
 Burro,70.0,g,Pommes Anna,,,,
 Sale fino,-1.0,n.a.,Pommes Anna,,,,
 Pepe nero,-1.0,n.a.,Pommes Anna,,,,
 Zucca rossa,1800.0,g,Zucca in agrodolce alla siciliana,,,,
 Olio extravergine d'oliva,400.0,g,Zucca in agrodolce alla siciliana,,,,
 Zucchero,15.0,g,Zucca in agrodolce alla siciliana,,,,
 Sale fino,-1.0,n.a.,Zucca in agrodolce alla siciliana,,,,
 Aceto di vino bianco,60.0,g,Zucca in agrodolce alla siciliana,,,,
 Aglio,3.0,spicchi,Zucca in agrodolce alla siciliana,,,,
 Menta,-1.0,n.a.,Zucca in agrodolce alla siciliana,,,,
 Patate medie,4.0,pezzi,Rosticciata (grostl) ai finferli con speck,,,,
 Speck,100.0,g,Rosticciata (grostl) ai finferli con speck,,,,
 Aglio,1.0,spicchio,Rosticciata (grostl) ai finferli con speck,,,,
 Sale fino,-1.0,n.a.,Rosticciata (grostl) ai finferli con speck,,,,
 Pepe nero,-1.0,n.a.,Rosticciata (grostl) ai finferli con speck,,,,
 Funghi finferli (gallinacci),250.0,g,Rosticciata (grostl) ai finferli con speck,,,,
 Cipolle,1.0,pezzi,Rosticciata (grostl) ai finferli con speck,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Rosticciata (grostl) ai finferli con speck,,,,
 Brodo vegetale,-1.0,n.a.,Rosticciata (grostl) ai finferli con speck,,,,
 Kiwi,4.0,pezzi,Insalata di kiwi,,,,
 Cheddar,100.0,g,Insalata di kiwi,,,,
 Peperoni gialli,0.5,Met� dell'ingrediente,Insalata di kiwi,,,,
 Peperoni verdi,0.5,Met� dell'ingrediente,Insalata di kiwi,,,,
 Succo di limone,1.0,pezzi,Insalata di kiwi,,,,
 Pomodorini ciliegino,8.0,pezzi,Insalata di kiwi,,,,
 Mais,150.0,g,Insalata di kiwi,,,,
 Peperoncino,1.0,pezzi,Insalata di kiwi,,,,
 Olio extravergine d'oliva,3.0,cucchiai,Insalata di kiwi,,,,
 Sale fino,-1.0,n.a.,Insalata di kiwi,,,,
 Cavolfiore,1.0,kg,Cavolfiore alla catalana,,,,
 Uova,2.0,pezzi,Cavolfiore alla catalana,,,,
 Capperi sotto sale,1.0,cucchiaio,Cavolfiore alla catalana,,,,
 Prezzemolo da tritare,1.0,ciuffo,Cavolfiore alla catalana,,,,
 Sale fino,-1.0,n.a.,Cavolfiore alla catalana,,,,
 Olio extravergine d'oliva,80.0,g,Cavolfiore alla catalana,,,,
 Aceto di vino rosso,50.0,g,Cavolfiore alla catalana,,,,
 Succo di limone,0.5,Met� dell'ingrediente,Cavolfiore alla catalana,,,,
 Aglio,2.0,spicchi,Cavolfiore alla catalana,,,,
 Zucchero,2.0,cucchiaini,Cavolfiore alla catalana,,,,
 Paprika dolce,0.5,Met� dell'ingrediente,Cavolfiore alla catalana,,,,
 Scarola (indivia) (2 cespi),800.0,g,Scarola imbottita,,,,
 Aglio,1.0,spicchio,Scarola imbottita,,,,
 Olio extravergine d'oliva,40.0,g,Scarola imbottita,,,,
 Uva passa,50.0,g,Scarola imbottita,,,,
 Pinoli,50.0,g,Scarola imbottita,,,,
 Olive nere (denocciolate),50.0,g,Scarola imbottita,,,,
 Capperi sotto sale (da dissalare),10.0,g,Scarola imbottita,,,,
 Acciughe sott'olio,10.0,g,Scarola imbottita,,,,
 Pangrattato,50.0,g,Scarola imbottita,,,,
 Pecorino (da grattugiare),30.0,g,Scarola imbottita,,,,
 Aglio,1.0,spicchio,Scarola imbottita,,,,
 Olio extravergine d'oliva,40.0,g,Scarola imbottita,,,,
 Sale fino,-1.0,n.a.,Scarola imbottita,,,,
 Pepe nero,-1.0,n.a.,Scarola imbottita,,,,
 Prezzemolo,1.0,ciuffo,Scarola imbottita,,,,
 Patate (farinose),600.0,g,Pur� goloso,,,,
 Mozzarella,200.0,g,Pur� goloso,,,,
 Prosciutto cotto,120.0,g,Pur� goloso,,,,
 Latte intero,-1.0,n.a.,Pur� goloso,,,,
 Parmigiano Reggiano DOP da grattugiare,80.0,g,Pur� goloso,,,,
 Burro,40.0,g,Pur� goloso,,,,
 Noce moscata da grattugiare,-1.0,n.a.,Pur� goloso,,,,
 Sale fino,-1.0,n.a.,Pur� goloso,,,,
 Patate,1.0,kg,Patate raganate,,,,
 Cipolle bianche,300.0,g,Patate raganate,,,,
 Pomodori ramati,500.0,g,Patate raganate,,,,
 Pane raffermo mollica,150.0,g,Patate raganate,,,,
 Pecorino romano da grattugiare,30.0,g,Patate raganate,,,,
 Origano,2.0,cucchiai,Patate raganate,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Patate raganate,,,,
 Sale fino,-1.0,n.a.,Patate raganate,,,,
 Pepe nero,-1.0,n.a.,Patate raganate,,,,
 Patate,950.0,g,Colcannon,,,,
 Verza gi� pulita,340.0,g,Colcannon,,,,
 circa,115.0,g,Colcannon,,,,
 Olio extravergine d'oliva,60.0,g,Colcannon,,,,
 Latte intero,200.0,g,Colcannon,,,,
 Sale fino,-1.0,n.a.,Colcannon,,,,
 Pepe nero,-1.0,n.a.,Colcannon,,,,
 Burro,60.0,g,Colcannon,,,,
 Zucca,550.0,g,Zucca e patate al forno,,,,
 Patate,750.0,g,Zucca e patate al forno,,,,
 Rosmarino,1.0,rametto,Zucca e patate al forno,,,,
 Sale fino,-1.0,n.a.,Zucca e patate al forno,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Zucca e patate al forno,,,,
 Pomodorini datterini,150.0,g,Zucca ripiena,,,,
 Ceci precotti scolati,125.0,g,Zucca ripiena,,,,
 Fagioli cannellini precotti scolati,125.0,g,Zucca ripiena,,,,
 Porri,70.0,g,Zucca ripiena,,,,
 Nocciole intere spellate,50.0,g,Zucca ripiena,,,,
 Olive nere denocciolate,30.0,g,Zucca ripiena,,,,
 Aglio,2.0,spicchi,Zucca ripiena,,,,
 Olio extravergine d'oliva,40.0,g,Zucca ripiena,,,,
 Timo,4.0,rametti,Zucca ripiena,,,,
 Rosmarino,4.0,rametti,Zucca ripiena,,,,
 Origano fresco,-1.0,n.a.,Zucca ripiena,,,,
 Sale fino,-1.0,n.a.,Zucca ripiena,,,,
 Pepe nero,-1.0,n.a.,Zucca ripiena,,,,
 Funghi orecchioni o ostrica (Pleurotus),400.0,g,Cotolette di pleurotus,,,,
 Uova,2.0,pezzi,Cotolette di pleurotus,,,,
 Sale fino,-1.0,n.a.,Cotolette di pleurotus,,,,
 Pepe nero,-1.0,n.a.,Cotolette di pleurotus,,,,
 Farina 00,-1.0,n.a.,Cotolette di pleurotus,,,,
 Pangrattato,-1.0,n.a.,Cotolette di pleurotus,,,,
 Asparagi,600.0,g,Asparagi allo zabaione salato,,,,
 Tuorli,4.0,pezzi,Asparagi allo zabaione salato,,,,
 Burro,60.0,g,Asparagi allo zabaione salato,,,,
 Vino bianco,80.0,ml,Asparagi allo zabaione salato,,,,
 Sale fino,-1.0,n.a.,Asparagi allo zabaione salato,,,,
 Pepe nero,-1.0,n.a.,Asparagi allo zabaione salato,,,,
 Carciofi,4.0,pezzi,Ciaudedda,,,,
 Fave da pulire,800.0,g,Ciaudedda,,,,
 Patate,580.0,g,Ciaudedda,,,,
 Cipolle rosse,1.0,pezzi,Ciaudedda,,,,
 Pancetta,100.0,g,Ciaudedda,,,,
 Brodo vegetale,500.0,g,Ciaudedda,,,,
 Sale fino,-1.0,n.a.,Ciaudedda,,,,
 Pepe nero,-1.0,n.a.,Ciaudedda,,,,
 Carote,600.0,g,Carote alla senape,,,,
 Aceto di vino bianco,150.0,g,Carote alla senape,,,,
 Vino bianco,200.0,g,Carote alla senape,,,,
 Acqua,700.0,g,Carote alla senape,,,,
 Aglio,2.0,spicchi,Carote alla senape,,,,
 Olio extravergine d'oliva,2.0,cucchiai,Carote alla senape,,,,
 Prezzemolo,3.0,ciuffi,Carote alla senape,,,,
 Alloro,4.0,foglie,Carote alla senape,,,,
 Senape,20.0,g,Carote alla senape,,,,
 Sale fino,-1.0,n.a.,Carote alla senape,,,,
 Zucchero,0.5,Met� dell'ingrediente,Carote alla senape,,,,
 Pepe nero,-1.0,n.a.,Carote alla senape,,,,
 Melanzane ovali nere,600.0,g,Melanzane e patate alle mandorle,,,,
 Patate,600.0,g,Melanzane e patate alle mandorle,,,,
 Mandorle tostate,80.0,g,Melanzane e patate alle mandorle,,,,
 Olio extravergine d'oliva,80.0,g,Melanzane e patate alle mandorle,,,,
 Sale fino,-1.0,n.a.,Melanzane e patate alle mandorle,,,,
 Pepe nero,-1.0,n.a.,Melanzane e patate alle mandorle,,,,
 Basilico,-1.0,n.a.,Melanzane e patate alle mandorle,,,,
 Crauti precotti (2 barattoli),770.0,g,Crauti alla Tirolese,,,,
 Pancetta affumicata,150.0,g,Crauti alla Tirolese,,,,
 Cipolle piccola,1.0,pezzi,Crauti alla Tirolese,,,,
 Olio extravergine d'oliva,2.0,cucchiai,Crauti alla Tirolese,,,,
 Burro,10.0,g,Crauti alla Tirolese,,,,
 Bacche di ginepro,5.0,pezzi,Crauti alla Tirolese,,,,
 Farina 00 rasi,2.0,cucchiai,Crauti alla Tirolese,,,,
 Dadi di carne,1.0,pezzi,Crauti alla Tirolese,,,,
 Sale fino,-1.0,n.a.,Crauti alla Tirolese,,,,
 Acqua,800.0,ml,Crauti alla Tirolese,,,,
 Radicchio qualit� baby,300.0,g,Insalata gratinata di radicchio. nocciole e scamorza,,,,
 Nocciole pelate,80.0,g,Insalata gratinata di radicchio. nocciole e scamorza,,,,
 Scamorza affumicata,80.0,g,Insalata gratinata di radicchio. nocciole e scamorza,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Insalata gratinata di radicchio. nocciole e scamorza,,,,
 Salvia,-1.0,n.a.,Insalata gratinata di radicchio. nocciole e scamorza,,,,
 Noce moscata,-1.0,n.a.,Insalata gratinata di radicchio. nocciole e scamorza,,,,
 Sale fino,-1.0,n.a.,Insalata gratinata di radicchio. nocciole e scamorza,,,,
 Pepe nero,-1.0,n.a.,Insalata gratinata di radicchio. nocciole e scamorza,,,,
 Carciofi,1.0,kg,Polpettine di carciofi con cuore filante,,,,
 Montasio,65.0,g,Polpettine di carciofi con cuore filante,,,,
 Uova,1.0,pezzi,Polpettine di carciofi con cuore filante,,,,
 Prezzemolo da tritare,12.0,g,Polpettine di carciofi con cuore filante,,,,
 Pane mollica,300.0,g,Polpettine di carciofi con cuore filante,,,,
 Limoni,1.0,pezzi,Polpettine di carciofi con cuore filante,,,,
 Grana Padano DOP da grattugiare,50.0,g,Polpettine di carciofi con cuore filante,,,,
 Aglio,1.0,spicchio,Polpettine di carciofi con cuore filante,,,,
 Sale fino,-1.0,n.a.,Polpettine di carciofi con cuore filante,,,,
 Pepe nero,-1.0,n.a.,Polpettine di carciofi con cuore filante,,,,
 Uova,2.0,pezzi,Polpettine di carciofi con cuore filante,,,,
 Pangrattato,100.0,g,Polpettine di carciofi con cuore filante,,,,
 Olio di semi,-1.0,n.a.,Polpettine di carciofi con cuore filante,,,,
 Zucchine baby,300.0,g,Insalata primavera con verdure e formaggi,,,,
 Taccole,200.0,g,Insalata primavera con verdure e formaggi,,,,
 Fagiolini,200.0,g,Insalata primavera con verdure e formaggi,,,,
 Pomodorini ciliegino,150.0,g,Insalata primavera con verdure e formaggi,,,,
 Carote,130.0,g,Insalata primavera con verdure e formaggi,,,,
 Tilsit,200.0,g,Insalata primavera con verdure e formaggi,,,,
 Grana Padano DOP,100.0,g,Insalata primavera con verdure e formaggi,,,,
 Maggiorana,1.0,rametto,Insalata primavera con verdure e formaggi,,,,
 Timo,1.0,rametto,Insalata primavera con verdure e formaggi,,,,
 Origano,1.0,rametto,Insalata primavera con verdure e formaggi,,,,
 Fiori di zucca,4.0,pezzi,Insalata primavera con verdure e formaggi,,,,
 Acqua gassata,150.0,g,Insalata primavera con verdure e formaggi,,,,
 Tilsit,50.0,g,Insalata primavera con verdure e formaggi,,,,
 Farina 00,50.0,g,Insalata primavera con verdure e formaggi,,,,
 Acciughe sott'olio,4.0,filetti,Insalata primavera con verdure e formaggi,,,,
 Bicarbonato ,0.5,Met� dell'ingrediente,Insalata primavera con verdure e formaggi,,,,
 Sale fino,-1.0,n.a.,Insalata primavera con verdure e formaggi,,,,
 Yogurt bianco naturale,190.0,g,Insalata primavera con verdure e formaggi,,,,
 Senape di Digione,80.0,g,Insalata primavera con verdure e formaggi,,,,
 Miele,30.0,g,Insalata primavera con verdure e formaggi,,,,
 Senape dolce,1.0,cucchiaio,Insalata primavera con verdure e formaggi,,,,
 Succo di limone,-1.0,n.a.,Insalata primavera con verdure e formaggi,,,,
 Patate grandi,12.0,pezzi,Patate ripiene di nonna Franca,,,,
 Manzo macinato,200.0,g,Patate ripiene di nonna Franca,,,,
 Salsiccia,100.0,g,Patate ripiene di nonna Franca,,,,
 Aglio,1.0,spicchio,Patate ripiene di nonna Franca,,,,
 Pancetta affumicata,50.0,g,Patate ripiene di nonna Franca,,,,
 Pomodorini ciliegino,8.0,pezzi,Patate ripiene di nonna Franca,,,,
 Carote,1.0,pezzi,Patate ripiene di nonna Franca,,,,
 Cipollotto fresco,0.5,Met� dell'ingrediente,Patate ripiene di nonna Franca,,,,
 Scorza di limone,0.5,Met� dell'ingrediente,Patate ripiene di nonna Franca,,,,
 Brodo vegetale,500.0,ml,Patate ripiene di nonna Franca,,,,
 Vino bianco secco,50.0,ml,Patate ripiene di nonna Franca,,,,
 Concentrato di pomodoro,1.0,cucchiaio,Patate ripiene di nonna Franca,,,,
 Peperoncino verde,1.0,pezzi,Patate ripiene di nonna Franca,,,,
 Prezzemolo,1.0,ciuffo,Patate ripiene di nonna Franca,,,,
 Rosmarino,1.0,rametto,Patate ripiene di nonna Franca,,,,
 Timo,1.0,rametto,Patate ripiene di nonna Franca,,,,
 Maggiorana,1.0,rametto,Patate ripiene di nonna Franca,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Patate ripiene di nonna Franca,,,,
 Sale fino,-1.0,n.a.,Patate ripiene di nonna Franca,,,,
 Pepe nero,-1.0,n.a.,Patate ripiene di nonna Franca,,,,
 Porri,220.0,g,Porri al prosciutto,,,,
 Prosciutto crudo,120.0,g,Porri al prosciutto,,,,
 Panna fresca liquida a temperatura ambiente,200.0,g,Porri al prosciutto,,,,
 Parmigiano Reggiano DOP,30.0,g,Porri al prosciutto,,,,
 Burro,20.0,g,Porri al prosciutto,,,,
 Farina 00,20.0,g,Porri al prosciutto,,,,
 Sale fino,-1.0,n.a.,Porri al prosciutto,,,,
 Pepe nero,-1.0,n.a.,Porri al prosciutto,,,,
 Filetto di salmone,800.0,g,Insalata di spinaci con patate salmone e feta,,,,
 Spinaci,400.0,g,Insalata di spinaci con patate salmone e feta,,,,
 Feta,300.0,g,Insalata di spinaci con patate salmone e feta,,,,
 Patate novelle,20.0,pezzi,Insalata di spinaci con patate salmone e feta,,,,
 Limoni succo e scorza,0.5,Met� dell'ingrediente,Insalata di spinaci con patate salmone e feta,,,,
 Arance succo e scorza,0.5,Met� dell'ingrediente,Insalata di spinaci con patate salmone e feta,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Insalata di spinaci con patate salmone e feta,,,,
 Sale fino,-1.0,n.a.,Insalata di spinaci con patate salmone e feta,,,,
 Pepe nero,-1.0,n.a.,Insalata di spinaci con patate salmone e feta,,,,
 Cavolfiore,1.0,pezzi,Insalata di broccoli.cavolfiori e indivia belga,,,,
 Broccoli,1.0,pezzi,Insalata di broccoli.cavolfiori e indivia belga,,,,
 Indivia belga,1.0,pezzi,Insalata di broccoli.cavolfiori e indivia belga,,,,
 Pinoli,1.0,cucchiaio,Insalata di broccoli.cavolfiori e indivia belga,,,,
 Uvetta,!�0,cucchiaim,nsalata di broccoli.cavolfiori e indifka$belga,,,,
 Olio extravergine d'oliva,6.0.cucckaai,Io�alata di brokgoli.cavolfiori e indi�ia belga,,,,,
 Senape di Digione,0.5�Mut� dell�ingreliente,Insalata di broccoli.cavolfiori e indivia belga,,,,,
 Ooce moscata,-1.0,n.a.,Insclata di broccoli.cavolfiori e andivIa belga,,,,
 Sald fino,-1. ,n.a.,Insalata di broccoli.cav�lfiori e indivia belga,,,,
 Pepe nero$-1.0,n.a.,Insalata di broccoli.cavolfiori e indivia belga,,,,,
Prezzemolo,3.0,ciuffi,Insalata di broccoli.ca6odfiori e indivia belga,,,,
 Succo di liione,4.0,cucchiai,Insalata di �roccoli.cavglf)ori e inehvia belga,,,,
 Zucchine,300,g,"Vmrdure al""forno facili",,,,
 Melanzane,500.0,g,Verdure al forno facili,,,,
 Peperoni,500.,g,Verdure al forno facili,,,,
 Cipo�le`rosse,250.0,g,Verdure al forno facili,,,,
 Origano secco,2.0,cucchiai,Verdure al forno facili,,,,
 Aglio,2.0,spmcchi,Verdure al forno facili,,,,
 Sale fino,-�.0,n.a.,Verdure al forno facili,,,,
 Pepe Nero,-1.0,n.a.,Verdure al gorno facili,,,,
`Olio extravergile d'oliva,-1.0,n.a.,Verdure al forno facili,,,,
 Radicchio trevigiano tardivo,700.0,g,Radicchio al forno,,,,
 Lardo di Colonnata a fette sottili,160.0,g,Radicchio al forno,,,,
 Sale fino,-1.0,n.a.,Radicchio al forno,,,,
 Pepe nero,-1.0,n.a.,Radicchio al forno,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Cavolfiore in padella,,,,
 Olive nere denocciolate,80.0,g,Cavolfiore in padella,,,,
 Capperi sotto sale,30.0,g,Cavolfiore in padella,,,,
 Acciughe sott'olio,30.0,g,Cavolfiore in padella,,,,
 Sale fino,-1.0,n.a.,Cavolfiore in padella,,,,
 Pepe nero,-1.0,n.a.,Cavolfiore in padella,,,,
 Aglio,1.0,spicchio,Cavolfiore in padella,,,,
 Prezzemolo,-1.0,n.a.,Cavolfiore in padella,,,,
 Valeriana (songino),100.0,g,Insalatina con fragole al balsamico,,,,
 Rucola,100.0,g,Insalatina con fragole al balsamico,,,,
 Fragole,200.0,g,Insalatina con fragole al balsamico,,,,
 Grana Padano DOP,100.0,g,Insalatina con fragole al balsamico,,,,
 Aceto balsamico,40.0,g,Insalatina con fragole al balsamico,,,,
 Olio extravergine d'oliva,50.0,g,Insalatina con fragole al balsamico,,,,
 Sale fino,-1.0,n.a.,Insalatina con fragole al balsamico,,,,
 Pepe nero,-1.0,n.a.,Insalatina con fragole al balsamico,,,,
